concept_id,concept_code,concept_name,codeset
4116242,255086002,Carcinoma common bile duct,cancer_dx
4116218,254989000,Carcinoma ex pleomorphic adenoma of lacrimal gland,cancer_dx
4312798,425127006,Carcinoma ex pleomorphic adenoma of parotid gland,cancer_dx
199744,286887005,Carcinoma liver and/or biliary system,cancer_dx
4110569,254543002,Carcinoma of abdominal part of esophagus,cancer_dx
4115272,254609000,Carcinoma of ampulla of Vater,cancer_dx
4112143,285310000,Carcinoma of anal canal,cancer_dx
4111654,254427006,Carcinoma of anterior part of floor of mouth,cancer_dx
4170450,275396004,Carcinoma of anterior two-thirds of tongue - dorsal surface,cancer_dx
4207182,312111009,Carcinoma of ascending colon,cancer_dx
4171283,276876007,Carcinoma of Bartholin's gland,cancer_dx
4158473,271943005,Carcinoma of base of tongue,cancer_dx
4113110,255108000,Carcinoma of bladder,cancer_dx
4181331,363368005,Carcinoma of body of pancreas,cancer_dx
4115266,254557000,Carcinoma of body of stomach,cancer_dx
4116234,255068000,"Carcinoma of bone, connective tissue, skin and breast",cancer_dx
4113638,286897001,Carcinoma of breast - axillary tail,cancer_dx
4113637,286894008,"Carcinoma of breast - lower, inner quadrant",cancer_dx
4117850,286893002,"Carcinoma of breast - upper, inner quadrant",cancer_dx
4117851,286895009,"Carcinoma of breast - upper, outer quadrant",cancer_dx
4110570,254553001,Carcinoma of cardia,cancer_dx
4116240,255081007,Carcinoma of cecum,cancer_dx
4111799,254535007,Carcinoma of cervical part of esophagus,cancer_dx
4112314,285432005,Carcinoma of cervix,cancer_dx
4149847,269533000,Carcinoma of colon,cancer_dx
4112456,254404003,Carcinoma of commissure of lip,cancer_dx
4193165,312113007,Carcinoma of descending colon,cancer_dx
4112610,254570009,Carcinoma of duodenum,cancer_dx
4162134,372098004,Carcinoma of endocervix,cancer_dx
4110585,254612002,Carcinoma of endocrine pancreas,cancer_dx
3663216,840573001,Carcinoma of epididymis and spermatic cord,cancer_dx
4157450,372100004,Carcinoma of exocervix,cancer_dx
4162877,372101000,Carcinoma of extrahepatic bile duct,cancer_dx
4174891,276870001,Carcinoma of fallopian tube,cancer_dx
4110877,254909003,Carcinoma of foreskin,cancer_dx
4112580,254417000,Carcinoma of frenum linguae,cancer_dx
4111645,254393004,Carcinoma of frenum of lip,cancer_dx
4112455,254402004,Carcinoma of frenum of lower lip,cancer_dx
4112453,254398008,Carcinoma of frenum of upper lip,cancer_dx
4110571,254555008,Carcinoma of fundus of stomach,cancer_dx
4162998,372140005,Carcinoma of gallbladder,cancer_dx
4120590,286899003,Carcinoma of genital organ,cancer_dx
4111019,255066001,Carcinoma of genitourinary organ,cancer_dx
4116088,254904008,Carcinoma of glans penis,cancer_dx
4157451,372103002,Carcinoma of glottis,cancer_dx
4112609,254567005,Carcinoma of greater curve of stomach,cancer_dx
4111775,254434008,Carcinoma of hard palate,cancer_dx
4209933,326072005,Carcinoma of head of pancreas,cancer_dx
4207183,312114001,Carcinoma of hepatic flexure,cancer_dx
4172359,276975007,Carcinoma of larynx,cancer_dx
4110424,254431000,Carcinoma of lateral part of floor of mouth,cancer_dx
4115267,254563009,Carcinoma of lesser curve of stomach,cancer_dx
4112581,254423005,Carcinoma of lingual tonsil,cancer_dx
4153887,269515006,Carcinoma of lip,cancer_dx
4113107,255069008,"Carcinoma of lip, oral cavity and pharynx",cancer_dx
4110428,254445006,Carcinoma of lower buccal sulcus,cancer_dx
4110422,254425003,Carcinoma of lower gum,cancer_dx
4115135,254454009,Carcinoma of lower labial sulcus,cancer_dx
4120589,286890004,Carcinoma of lower limb bones,cancer_dx
4155293,372111007,"Carcinoma of lower lobe, bronchus or lung",cancer_dx
4112606,254551004,Carcinoma of lower third of esophagus,cancer_dx
4162250,372120003,Carcinoma of main bronchus,cancer_dx
4157448,372096000,Carcinoma of male breast,cancer_dx
4162248,372113005,"Carcinoma of middle lobe, bronchus or lung",cancer_dx
4115265,254549003,Carcinoma of middle third of esophagus,cancer_dx
4173801,275397008,Carcinoma of midline of tongue,cancer_dx
4157459,372142002,Carcinoma of pancreas,cancer_dx
4115138,254462001,Carcinoma of parotid gland,cancer_dx
4162249,372116002,"Carcinoma of pelvic bones, sacrum and coccyx",cancer_dx
4162137,372106005,Carcinoma of penis,cancer_dx
4116087,254900004,Carcinoma of prostate,cancer_dx
4110572,254559002,Carcinoma of pyloric antrum,cancer_dx
4112607,254561006,Carcinoma of pylorus,cancer_dx
4111783,254457002,Carcinoma of retromolar area,cancer_dx
4162992,372121004,Carcinoma of ribs and/or sternum and/or clavicle,cancer_dx
37399542,716593008,Carcinoma of salivary gland type of breast,cancer_dx
4115028,285312008,Carcinoma of sigmoid colon,cancer_dx
4113636,286891000,Carcinoma of skin of head/neck,cancer_dx
4155295,372125008,Carcinoma of skin of lower limb,cancer_dx
4155296,372127000,Carcinoma of skin of trunk,cancer_dx
4162995,372129002,Carcinoma of skin of upper limb,cancer_dx
4115130,254435009,Carcinoma of soft palate,cancer_dx
4193872,312115000,Carcinoma of splenic flexure,cancer_dx
4155299,372143007,Carcinoma of stomach,cancer_dx
4157452,372104008,Carcinoma of subglottis,cancer_dx
4112585,254466003,Carcinoma of sublingual gland,cancer_dx
4110432,254465004,Carcinoma of submandibular gland,cancer_dx
4162136,372105009,Carcinoma of supraglottis,cancer_dx
4178960,363369002,Carcinoma of tail of pancreas,cancer_dx
4151260,269544008,Carcinoma of the rectosigmoid junction,cancer_dx
4110568,254539001,Carcinoma of thoracic part of esophagus,cancer_dx
4168069,275490009,Carcinoma of tongue base - dorsal surface,cancer_dx
4193871,312112002,Carcinoma of transverse colon,cancer_dx
4111777,254441002,Carcinoma of upper buccal sulcus,cancer_dx
4111653,254424004,Carcinoma of upper gum,cancer_dx
4110430,254450000,Carcinoma of upper labial sulcus,cancer_dx
4120588,286889008,Carcinoma of upper limb bones/scapula,cancer_dx
4162252,372136001,"Carcinoma of upper lobe, bronchus or lung",cancer_dx
4112605,254547001,Carcinoma of upper third of esophagus,cancer_dx
4310575,423973006,"Carcinoma of uterine cervix, invasive",cancer_dx
4110425,254436005,Carcinoma of uvula,cancer_dx
4110873,254893005,Carcinoma of vagina,cancer_dx
4110417,254390001,Carcinoma of vermilion border of lower lip,cancer_dx
4112451,254389005,Carcinoma of vermilion border of upper lip,cancer_dx
4162999,372141009,Carcinoma of vocal cord,cancer_dx
4173799,275394001,Carcinoma ventral surface of tongue,cancer_dx
36687125,1.59309E+16,Carcinosarcoma of bilateral ovaries,cancer_dx
35622770,764951002,Carcinosarcoma of cervix uteri,cancer_dx
35622771,764952009,Carcinosarcoma of corpus uteri,cancer_dx
36687123,1.59309E+16,Carcinosarcoma of left ovary,cancer_dx
45765433,702368000,Carcinosarcoma of ovary,cancer_dx
36687124,1.59309E+16,Carcinosarcoma of right ovary,cancer_dx
4301655,404087009,Carcinosarcoma of skin,cancer_dx
36716937,723173003,Carcinosarcoma of uterine adnexa,cancer_dx
45773362,702369008,Carcinosarcoma of uterus,cancer_dx
4299147,404129007,CD-30 negative anaplastic large T-cell cutaneous lymphoma,cancer_dx
4297354,404128004,CD-30 negative cutaneous T-cell lymphoma,cancer_dx
4300699,404130002,CD-30 negative pleomorphic large T-cell cutaneous lymphoma,cancer_dx
4299148,404131003,CD-30 negative T-immunoblastic cutaneous lymphoma,cancer_dx
4299145,404126000,CD-30 positive pleomorphic large T-cell cutaneous lymphoma,cancer_dx
4299146,404127009,CD-30 positive T-immunoblastic cutaneous lymphoma,cancer_dx
4300574,403951006,Ceruminous gland adenocarcinoma,cancer_dx
4097582,188737002,Chloroma,cancer_dx
4208660,312104005,Cholangiocarcinoma of biliary tract,cancer_dx
3654361,830196006,Chordoma of cervical spine,cancer_dx
40490343,446939001,Chordoma of clivus,cancer_dx
761006,1.30891E+14,Chordoma of coccyx,cancer_dx
3663201,833285007,Chordoma of lumbar spine,cancer_dx
761007,1.30911E+14,Chordoma of pelvis,cancer_dx
40486109,447730004,Chordoma of sacrum,cancer_dx
3654418,833295000,Chordoma of thoracic spine,cancer_dx
37116670,733471003,Chromophobe renal cell carcinoma,cancer_dx
4091925,188733003,Chronic eosinophilic leukemia,cancer_dx
140057,92812005,Chronic leukemia,cancer_dx
760962,1.23781E+14,Chronic leukemia in relapse,cancer_dx
134597,92811003,Chronic leukemia in remission,cancer_dx
37110902,725437002,Chronic lymphocytic leukemia genetic mutation variant,cancer_dx
4082338,277549009,Chronic lymphocytic prolymphocytic leukemia syndrome,cancer_dx
138379,92814006,"Chronic lymphoid leukemia, disease",cancer_dx
760935,1.22961E+14,Chronic lymphoid leukemia in relapse,cancer_dx
133438,92813000,Chronic lymphoid leukemia in remission,cancer_dx
136056,188745007,Chronic monocytic leukemia,cancer_dx
760932,1.22881E+14,Chronic monocytic leukemia in relapse,cancer_dx
134603,92818009,Chronic myeloid leukemia,cancer_dx
4188973,413842007,Chronic myeloid leukemia in lymphoid blast crisis,cancer_dx
4185301,413843002,Chronic myeloid leukemia in myeloid blast crisis,cancer_dx
132572,92817004,Chronic myeloid leukemia in remission,cancer_dx
4133599,127225006,Chronic myelomonocytic leukemia,cancer_dx
4097581,188734009,Chronic neutrophilic leukemia,cancer_dx
4188975,413847001,Chronic phase chronic myeloid leukemia,cancer_dx
4297182,403910009,Circumscribed solid basal cell carcinoma,cancer_dx
44783592,699704002,Classic medulloblastoma,cancer_dx
35623049,765328000,Classic mycosis fungoides,cancer_dx
35621826,763131005,Clear cell adenocarcinoma of ovary,cancer_dx
4110880,254915003,Clear cell carcinoma of kidney,cancer_dx
759940,1.08157E+15,Clear cell carcinoma of left kidney,cancer_dx
759941,1.08158E+15,Clear cell carcinoma of right kidney,cancer_dx
4298127,403940006,Clear cell eccrine hidradenocarcinoma,cancer_dx
37116954,734015000,Clear cell papillary renal cell carcinoma,cancer_dx
4112743,254652000,Clear cell squamous cell carcinoma of skin,cancer_dx
44811227,8.63741E+14,Clinical stage A chronic lymphocytic leukaemia,cancer_dx
44811228,8.63761E+14,Clinical stage B chronic lymphocytic leukaemia,cancer_dx
44814026,8.63781E+14,Clinical stage C chronic lymphocytic leukaemia,cancer_dx
37116669,733470002,Collecting duct carcinoma of kidney,cancer_dx
4166154,274902006,Combined hepatocellular carcinoma and cholangiocarcinoma,cancer_dx
4079280,277573001,Common acute lymphoblastic leukemia,cancer_dx
4095897,190030009,Compound leukemias,cancer_dx
45765495,702446006,Core binding factor acute myeloid leukemia,cancer_dx
4110731,254748009,Cutaneous fibrosarcoma,cancer_dx
4082487,277613000,Cutaneous/peripheral T-cell lymphoma,cancer_dx
4112879,254916002,Cystadenocarcinoma of kidney,cancer_dx
4198275,314191009,Cystadenocarcinoma of ovary,cancer_dx
4340498,235966007,Cystadenocarcinoma of pancreas,cancer_dx
45766268,703387000,Cytogenetically normal acute myeloid leukemia,cancer_dx
4301652,404072004,Dedifferentiated liposarcoma,cancer_dx
4068256,20224008,Delta heavy chain disease,cancer_dx
4174440,276799004,Dermatofibrosarcoma protuberans,cancer_dx
40488988,448296006,Dermatofibrosarcoma protuberans of skin of chest,cancer_dx
40486088,447710003,Dermatofibrosarcoma protuberans of skin of shoulder,cancer_dx
4298147,404010004,Dermatofibrosarcoma protuberans with giant cell fibroblastoma,cancer_dx
4297331,404009009,Dermatofibrosarcoma protuberans with granular cell change,cancer_dx
4298146,404008001,Dermatofibrosarcoma protuberans with myoid differentiation,cancer_dx
4298034,403924008,Desmoplastic malignant melanoma,cancer_dx
36676614,773537001,Differentiation syndrome due to and following chemotherapy co-occurrent with acute promyelocytic leukemia,cancer_dx
40486171,449220000,Diffuse follicle center lymphoma,cancer_dx
4082488,277626001,Diffuse high grade B-cell lymphoma,cancer_dx
3656333,1.1471E+13,Diffuse intrinsic pontine glioma,cancer_dx
44808122,8.47741E+14,Diffuse large B-cell lymphoma,cancer_dx
37110401,724647003,Diffuse large B-cell lymphoma co-occurrent with chronic inflammation caused by Epstein-Barr virus,cancer_dx
4300704,404148006,Diffuse large B-cell lymphoma (nodal/systemic with skin involvement),cancer_dx
37116982,734066005,Diffuse large B-cell lymphoma of central nervous system,cancer_dx
3654886,840423002,Diffuse large B-cell lymphoma of small intestine,cancer_dx
3654887,840424008,Diffuse large B-cell lymphoma of stomach,cancer_dx
4079691,277616008,Diffuse low grade B-cell lymphoma,cancer_dx
4121330,302842009,Diffuse malignant lymphoma - centroblastic,cancer_dx
4144199,307624007,Diffuse malignant lymphoma - centroblastic-centrocytic,cancer_dx
4079293,277632006,Diffuse malignant lymphoma - centroblastic polymorphic,cancer_dx
4173978,277628000,Diffuse malignant lymphoma - large cleaved cell,cancer_dx
4079291,277629008,Diffuse malignant lymphoma - large non-cleaved cell,cancer_dx
4094543,188674006,Diffuse malignant lymphoma - small non-cleaved cell,cancer_dx
37017442,713718006,Diffuse non-Hodgkin immunoblastic lymphoma co-occurrent with human immunodeficiency virus infection,cancer_dx
4003830,109962001,Diffuse non-Hodgkin's lymphoma,cancer_dx
4003832,109966003,"Diffuse non-Hodgkin's lymphoma, immunoblastic (clinical)",cancer_dx
432574,109969005,"Diffuse non-Hodgkin's lymphoma, large cell (clinical)",cancer_dx
764839,6.8261E+13,Diffuse non-Hodgkin's lymphoma Lugano stage I,cancer_dx
765741,6.8271E+13,Diffuse non-Hodgkin's lymphoma Lugano stage II,cancer_dx
765717,4.56911E+14,Diffuse non-Hodgkin's lymphoma Lugano stage III,cancer_dx
764840,6.8291E+13,Diffuse non-Hodgkin's lymphoma Lugano stage IV,cancer_dx
4001328,109965004,"Diffuse non-Hodgkin's lymphoma, lymphoblastic (clinical)",cancer_dx
40493518,449177007,Diffuse non-Hodgkin's lymphoma of bone,cancer_dx
40486172,449221001,Diffuse non-Hodgkin's lymphoma of central nervous system,cancer_dx
40490465,448560008,Diffuse non-Hodgkin's lymphoma of extranodal site,cancer_dx
40493517,449176003,Diffuse non-Hodgkin's lymphoma of intestine,cancer_dx
40492020,448867004,Diffuse non-Hodgkin's lymphoma of lung,cancer_dx
40489409,448319002,Diffuse non-Hodgkin's lymphoma of nasopharynx,cancer_dx
40493019,449065000,Diffuse non-Hodgkin's lymphoma of nose,cancer_dx
40489963,448468003,Diffuse non-Hodgkin's lymphoma of oral cavity,cancer_dx
