"concept_id","concept_name","concept_code","vocabulary_id","pcornet_vocabulary_id","category","ingredient"
45306767,"Hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet","42254043730","NDC","ND","arb","valsartan"
45208955,"candesartan cilexetil 16 MG Oral Tablet [Atacand]","58016060607","NDC","ND","arb","candesartan"
2064888,"amlodipine / telmisartan Oral Tablet [AMLOSARTAN]","OMOP4966187","RxNorm Extension","RX","arb","telmisartan"
40947934,"irbesartan 75 MG Oral Tablet [Aprovel] Box of 56 by Sanofi","OMOP2145896","RxNorm Extension","RX","arb","irbesartan"
43852124,"candesartan / Hydrochlorothiazide Oral Tablet [Candesarplus Al]","OMOP797228","RxNorm Extension","RX","arb","candesartan"
40947931,"irbesartan 75 MG Oral Tablet [Irbesartan Hennig] Box of 56 by Hennig","OMOP2145893","RxNorm Extension","RX","arb","irbesartan"
40720962,"candesartan 8 MG Oral Tablet [Amias] by Mawdsley-Brooks","OMOP4736722","RxNorm Extension","RX","arb","candesartan"
44179651,"olmesartan Oral Tablet [Olmesartan Hexal]","OMOP3056374","RxNorm Extension","RX","arb","olmesartan"
44119723,"candesartan 8 MG [Pms-Candesartan]","OMOP1114354","RxNorm Extension","RX","arb","candesartan"
42644638,"losartan potassium 25 MG Oral Tablet","68788747003","NDC","ND","arb","losartan"
43822411,"irbesartan 300 MG Oral Tablet [Irbesartan Hennig]","OMOP698353","RxNorm Extension","RX","arb","irbesartan"
43145766,"candesartan 16 MG / Hydrochlorothiazide 12.5 MG [CANDESARTAN/HYDROCHLOROTHIAZIDE RANBAXY]","OMOP447694","RxNorm Extension","RX","arb","candesartan"
44428144,"hydrochlorothiazide 12.5 MG / losartan potassium 50 MG Oral Tablet","57297021501","NDC","ND","arb","losartan"
43260155,"Amlodipine 5 MG / olmesartan 40 MG Oral Tablet by Blooms The Chemist","OMOP544062","RxNorm Extension","RX","arb","olmesartan"
2023213,"olmesartan 8 MG Oral Tablet","OMOP4934948","RxNorm Extension","RX","arb","olmesartan"
43261312,"Hydrochlorothiazide 12.5 MG / telmisartan 40 MG Oral Tablet by Chemmart","OMOP534026","RxNorm Extension","RX","arb","telmisartan"
