concept_id,concept_code,concept_name,vocabulary_id
44828971,403.91,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",ICD9CM
44835953,437.2,Hypertensive encephalopathy,ICD9CM
44827780,404,Hypertensive heart and chronic kidney disease,ICD9CM
44820856,404.13,"Hypertensive heart and chronic kidney disease, benign, with heart failure and chronic kidney disease stage V or end stage renal disease",ICD9CM
44819695,404.11,"Hypertensive heart and chronic kidney disease, benign, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",ICD9CM
44819694,404.1,"Hypertensive heart and chronic kidney disease, benign, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified",ICD9CM
44833560,404.12,"Hypertensive heart and chronic kidney disease, benign, without heart failure and with chronic kidney disease stage V or end stage renal disease",ICD9CM
44833559,404,"Hypertensive heart and chronic kidney disease, malignant",ICD9CM
44819692,404.01,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",ICD9CM
44819693,404.03,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage V or end stage renal disease",ICD9CM
44832369,404,"Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified",ICD9CM
44831232,404.02,"Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage V or end stage renal disease",ICD9CM
44824235,404.93,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease",ICD9CM
44819696,404.91,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",ICD9CM
44835924,404.9,"Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified",ICD9CM
44821950,404.92,"Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage V or end stage renal disease",ICD9CM
44834717,404.1,"Hypertensive heart and renal disease, benign",ICD9CM
44826634,404.9,"Hypertensive heart and renal disease, unspecified",ICD9CM
44832366,402,Hypertensive heart disease,ICD9CM
44825427,403.1,"Hypertensive renal disease, benign",ICD9CM
44830077,403.9,"Hypertensive renal disease, unspecified",ICD9CM
44823041,362.11,Hypertensive retinopathy,ICD9CM
44823109,401,Malignant essential hypertension,ICD9CM
44831229,402,Malignant hypertensive heart disease,ICD9CM
44833557,402.01,Malignant hypertensive heart disease with heart failure,ICD9CM
44827778,402,Malignant hypertensive heart disease without heart failure,ICD9CM
44831234,405.01,Malignant renovascular hypertension,ICD9CM
44831233,405,Malignant secondary hypertension,ICD9CM
44831562,760,Maternal hypertensive disorders affecting fetus or newborn,ICD9CM
44827781,405.19,Other benign secondary hypertension,ICD9CM
44824236,405.09,Other malignant secondary hypertension,ICD9CM
44827931,642.2,"Other pre-existing hypertension complicating pregnancy, childbirth, and the puerperium",ICD9CM
44830211,642.23,"Other pre-existing hypertension, complicating pregnancy, childbirth, and the puerperium, antepartum condition or complication",ICD9CM
44827932,642.22,"Other pre-existing hypertension, complicating pregnancy, childbirth, and the puerperium, delivered, with mention of postpartum complication",ICD9CM
44836074,642.21,"Other pre-existing hypertension, complicating pregnancy, childbirth, and the puerperium, delivered, with or without mention of antepartum condition",ICD9CM
44836075,642.24,"Other pre-existing hypertension,complicating pregnancy, childbirth, and the puerperium, , postpartum condition or complication",ICD9CM
44837233,642.2,"Other pre-existing hypertension complicating pregnancy, childbirth, and the puerperium, unspecified as to episode of care or not applicable",ICD9CM
44835925,405.99,Other unspecified secondary hypertension,ICD9CM
44824394,642.7,Pre-eclampsia or eclampsia superimposed on pre-existing hypertension,ICD9CM
44825591,642.73,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, antepartum condition or complication",ICD9CM
44823230,642.72,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, delivered, with mention of postpartum complication",ICD9CM
44832523,642.71,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, delivered, with or without mention of antepartum condition",ICD9CM
44832524,642.74,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, postpartum condition or complication",ICD9CM
44826776,642.7,"Pre-eclampsia or eclampsia superimposed on pre-existing hypertension, unspecified as to episode of care or not applicable",ICD9CM
44832370,405,Secondary hypertension,ICD9CM
44826774,642.3,Transient hypertension of pregnancy,ICD9CM
44833715,642.33,"Transient hypertension of pregnancy, antepartum condition or complication",ICD9CM
44834876,642.32,"Transient hypertension of pregnancy, delivered, with mention of postpartum complication",ICD9CM
44836077,642.31,"Transient hypertension of pregnancy, delivered , with or without mention of antepartum condition",ICD9CM
44821019,642.34,"Transient hypertension of pregnancy, postpartum condition or complication",ICD9CM
44836076,642.3,"Transient hypertension of pregnancy, unspecified as to episode of care or not applicable",ICD9CM
44821949,401.9,Unspecified essential hypertension,ICD9CM
44823231,642.9,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium",ICD9CM
44822084,642.93,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication",ICD9CM
44822083,642.92,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication",ICD9CM
44824395,642.91,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, delivered, with or without mention of antepartum condition",ICD9CM
44825592,642.94,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication",ICD9CM
44837235,642.9,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable",ICD9CM
44834716,402.9,Unspecified hypertensive heart disease,ICD9CM
44831230,402.91,Unspecified hypertensive heart disease with heart failure,ICD9CM
44827779,402.9,Unspecified hypertensive heart disease without heart failure,ICD9CM
44830078,405.91,Unspecified renovascular hypertension,ICD9CM
44837098,405.9,Unspecified secondary hypertension,ICD9CM
312648,1201005,Benign essential hypertension,SNOMED
4215640,71874008,Benign essential hypertension complicating AND/OR reason for care during childbirth,SNOMED
4034031,23717007,Benign essential hypertension complicating AND/OR reason for care during pregnancy,SNOMED
4148205,35303009,Benign essential hypertension complicating AND/OR reason for care during puerperium,SNOMED
321638,198942000,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium",SNOMED
314103,198944004,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered",SNOMED
320456,198945003,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication",SNOMED
314423,198946002,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - not delivered",SNOMED
4062811,198947006,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication",SNOMED
4269358,63287004,Benign essential hypertension in obstetric context,SNOMED
4028741,10725009,Benign hypertension,SNOMED
314958,194785008,Benign secondary hypertension,SNOMED
4249016,73410007,Benign secondary renovascular hypertension,SNOMED
36715087,720568003,Brachydactyly and arterial hypertension syndrome,SNOMED
4304837,8218002,Chronic hypertension complicating AND/OR reason for care during childbirth,SNOMED
4291933,37618003,Chronic hypertension complicating AND/OR reason for care during pregnancy,SNOMED
4080325,24042004,Chronic hypertension complicating AND/OR reason for care during puerperium,SNOMED
4227607,8762007,Chronic hypertension in obstetric context,SNOMED
4167358,48146000,Diastolic hypertension,SNOMED
42538697,762463000,Diastolic hypertension and systolic hypertension,SNOMED
4289142,69909000,Eclampsia added to pre-existing hypertension,SNOMED
45757119,10752641000119100,Eclampsia with pre-existing hypertension in childbirth,SNOMED
320128,59621000,Essential hypertension,SNOMED
4083723,18416000,Essential hypertension complicating AND/OR reason for care during childbirth,SNOMED
4302591,78808002,Essential hypertension complicating AND/OR reason for care during pregnancy,SNOMED
4321603,9901000,Essential hypertension complicating AND/OR reason for care during puerperium,SNOMED
4217486,72022006,Essential hypertension in obstetric context,SNOMED
4179379,429198000,Exertional hypertension,SNOMED
4048212,123800009,Goldblatt hypertension,SNOMED
4316372,95605009,HELLP syndrome,SNOMED
4058987,19769006,High-renin essential hypertension,SNOMED
4322735,427889009,Hypertension associated with transplantation,SNOMED
42538946,82771000119102,Hypertension complicating pregnancy,SNOMED
321080,198941007,"Hypertension complicating pregnancy, childbirth and the puerperium",SNOMED
42873163,541000119105,"Hypertension complicating pregnancy, childbirth and the puerperium, antepartum",SNOMED
3656115,871642009,Hypertension due to aortic arch obstruction,SNOMED
35624277,766937004,Hypertension due to gain-of-function mutation in mineralocorticoid receptor,SNOMED
45771067,71701000119105,Hypertension in chronic kidney disease due to type 1 diabetes mellitus,SNOMED
45771064,71421000119105,Hypertension in chronic kidney disease due to type 2 diabetes mellitus,SNOMED
45757447,140131000119102,Hypertension in chronic kidney disease stage 2 due to type 2 diabetes mellitus,SNOMED
45757446,140121000119100,Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus,SNOMED
45757445,140111000119107,Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus,SNOMED
45757444,140101000119109,Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus,SNOMED
4061667,169465000,Hypertension induced by oral contraceptive pill,SNOMED
4279525,367390009,Hypertension in the obstetric context,SNOMED
44784484,698640000,Hypertension in the puerperium with pulmonary edema,SNOMED
44809548,845891000000103,Hypertension resistant to drug therapy,SNOMED
4108213,194791005,Hypertension secondary to drug,SNOMED
4110948,194788005,Hypertension secondary to endocrine disorder,SNOMED
4178312,428575007,Hypertension secondary to kidney transplant,SNOMED
4094374,26078007,Hypertension secondary to renal disease complicating AND/OR reason for care during childbirth,SNOMED
4174979,48552006,Hypertension secondary to renal disease complicating AND/OR reason for care during pregnancy,SNOMED
4219323,39727004,Hypertension secondary to renal disease complicating AND/OR reason for care during puerperium,SNOMED
4006325,111438007,Hypertension secondary to renal disease in obstetric context,SNOMED
4262182,397748008,Hypertension with albuminuria,SNOMED
45768449,706882009,Hypertensive crisis,SNOMED
316866,38341003,Hypertensive disorder,SNOMED
43020424,132721000119104,Hypertensive emergency,SNOMED
40481896,443482000,Hypertensive urgency,SNOMED
4034095,237282002,Impending eclampsia,SNOMED
44783643,697929007,Intermittent hypertension,SNOMED
4276511,65518004,Labile diastolic hypertension,SNOMED
4159755,371125006,Labile essential hypertension,SNOMED
44783644,697930002,Labile hypertension due to being in a clinical environment,SNOMED
36713024,16229371000119100,Labile systemic arterial hypertension,SNOMED
4263067,46481004,Low-renin essential hypertension,SNOMED
317898,78975002,Malignant essential hypertension,SNOMED
4289933,70272006,Malignant hypertension,SNOMED
4023318,10562009,Malignant hypertension complicating AND/OR reason for care during childbirth,SNOMED
4162306,29259002,Malignant hypertension complicating AND/OR reason for care during pregnancy,SNOMED
4028951,23786008,Malignant hypertension complicating AND/OR reason for care during puerperium,SNOMED
4218088,81626002,Malignant hypertension in obstetric context,SNOMED
318437,89242004,Malignant secondary hypertension,SNOMED
4110947,194783001,Malignant secondary renovascular hypertension,SNOMED
4118910,288250001,Maternal hypertension,SNOMED
314090,41114007,Mild pre-eclampsia,SNOMED
4034094,237281009,Moderate proteinuric hypertension of pregnancy,SNOMED
37208293,1078301000112100,Multiple drug intolerant hypertension,SNOMED
4071202,206596003,Neonatal hypertension,SNOMED
44811110,863191000000102,Nocturnal hypertension,SNOMED
4146627,307632004,Non-proteinuric hypertension of pregnancy,SNOMED
4212496,57684003,Parenchymal renal hypertension,SNOMED
4049389,23130000,Paroxysmal hypertension,SNOMED
762994,434711000124103,Perioperative hypertension,SNOMED
43021830,5501000119106,Postoperative hypertension,SNOMED
35622939,765182005,Postpartum pre-eclampsia,SNOMED
45757787,40511000119107,Postpartum pre-existing essential hypertension,SNOMED
45757788,40521000119100,Postpartum pregnancy-induced hypertension,SNOMED
439393,398254007,Pre-eclampsia,SNOMED
